StandID,Year,Standing_Snag_lt3,Standing_Snag_ge3,Standing_Foliage,Standing_Live_lt3,Standing_Live_ge3,Standing_Total,Canopy_Ht,Canopy_Density,Fuel_Mod1,Total_Cover,Tpa,BA,TopHt,RunTitle
Con_44_4,2019,0.002185778,2.383666515,5.026659489,13.75533962,58,80,3,0.05381934,10,45,376.6399536,149.5932007,112,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_44_4,2019,0.002185778,2.383666515,5.026659489,13.75533962,58,80,3,0.05381934,10,45,376.6399536,149.5932007,112,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_BerryGlade_Unburned3,2019,0.032051492,0,6.183231354,19.35749817,0,26,1,0.147399768,8,59,52640.01563,45.44009781,14,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_BerryGlade_Unburned3,2019,0.032051492,0,6.183231354,19.35749817,0,26,1,0.147399768,8,59,52640.01563,45.44009781,14,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_51_1,2019,0.153882891,0,4.347743511,7.994782448,8,20,1,0.153600767,10,55,2603.217041,69.55483246,32,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_51_1,2019,0.153882891,0,4.347743511,7.994782448,8,20,1,0.153600767,10,55,2603.217041,69.55483246,32,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_51_3-Dense,2019,0.758924127,0,1.37537396,15.97026157,18,37,-1,0,5,93,2255.521973,120.776001,39,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_51_3-Dense,2019,0.758924127,0,1.37537396,15.97026157,18,37,-1,0,5,93,2255.521973,120.776001,39,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_52_2,2019,0.029722055,0.904966176,0.879809916,4.248408794,6,12,3,0.016261758,8,40,3696.532227,35.32003784,33,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Dec_52_2,2019,0.029722055,0.904966176,0.879809916,4.248408794,6,12,3,0.016261758,8,40,3696.532227,35.32003784,33,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
