"Plot_code","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom"
"Con_11_1",140,25,92.7244801512287,19.0987525978389,20.5973142871115,0.509469638056533,131,34,95.7046313799622,15.6636090967241,16.3666155659041,0.58425940311799,121,42,82.8100189035917,12.9655595363053,15.6569938130312,0.627117903949373,166,31,127.608695652174,23.2091935807056,18.1877837259363,0.536918521295487,0.495238095238095,-0.094017094017094,0.159599372595206,0.0888117164982846,55.6466576617059,0.642991171614155
"Con_12_1",159,23,75.1721854304636,29.9121234208697,39.7914777248818,0.383278770879729,144,35,83.9366130558184,24.7811385971292,29.5236341984035,0.423710274695999,129,41,76.3580889309366,20.2449262915092,26.5131390464999,0.529211500528675,175,30,113.02270577105,34.080421230884,30.1536058603309,0.324104366461822,0.585798816568047,-0.072463768115942,0.210984735545986,0.14681917733702,69.587582702171,0.519276583837021
"Con_13_1-CWD",144,36,85.2713947990544,19.0555407331467,22.3469321430145,0.42300250865334,136,47,90.234988179669,15.871948128861,17.5895719044789,0.506933390862391,127,47,84.8378250591017,14.9810882673525,17.6585010953735,0.536901900477616,161,31,98.2028368794326,20.6573613179881,21.0354018014265,0.428019043062089,0.55688622754491,-0.192307692307692,0.0703451641233101,0.123097079112366,174.990108625783,0.528485989261842
"Con_13_2",146,16,58.3623462630085,28.7198097027522,49.2094844393799,0.535421720292121,137,25,68.5704824976348,26.1659127875488,38.1591492935044,0.545577292431642,128,35,64.2142857142857,18.8193636191184,29.3071291065248,0.659934174885632,170,21,94.9588457899716,40.610785296942,42.7667216877976,0.435860735837838,0.614973262032086,-0.0434782608695652,0.239218914727799,0.128295368475583,53.6309466254236,0.568818376229133
"Con_14_1",159,22,79.6425855513308,30.8463683824287,38.7309982076709,0.417409003063897,157,33,90.2328897338403,28.2273553006789,31.2827788004363,0.442218170423137,131,40,77.3930608365019,19.4550573779364,25.1379867492727,0.588113933201442,190,34,123.816539923954,35.4498647031352,28.6309605525302,0.402929390788021,0.570552147239264,-0.0642201834862385,0.231547709483466,0.113951328193661,49.2128937262486,0.585993641910746
"Con_21_1",138,13,37.4263382283278,18.4217095243179,49.2212447072222,0.538185337141551,134,23,52.7171956418759,19.2925613172342,36.5963346159278,0.487281434018023,114,30,49.3514921837991,12.7180729858636,25.7703919842947,0.662546013768608,172,23,92.3273330175272,39.2792216991556,42.543438021435,0.320756945253394,0.698924731182796,-0.0748898678414097,0.409001234251818,0.153833549129359,37.6120011986674,0.508722234251871
"Con_22_1",137,13,54.7568590350047,30.5403383992847,55.7744526211064,0.485417453122022,139,24,66.5070955534532,28.7106292788186,43.1692724511526,0.492877236257248,118,29,58.2119205298013,18.8683517905344,32.4132095605312,0.611387920919783,173,21,102.374645222327,45.5499667443741,44.4934061997999,0.399174502178556,0.688311688311688,-0.0232558139534884,0.307973295692394,0.14874524097845,48.2980969645554,0.541229847022333
"Con_22_2",150,17,51.4519185220275,25.3747539360048,49.3174106328832,0.604312255095995,148,30,63.775461866414,24.5417679456463,38.481521305251,0.598464308817456,146,36,60.3604926575083,16.7315388125777,27.7193542927395,0.703041551675877,173,25,98.1226906679299,41.3690546657971,42.1605383873947,0.443659523358693,0.611940298507463,-0.0387596899224806,0.302965127312471,0.138054212567033,45.5676908400903,0.598945829708319
"Con_23_1",155,17,63.162494095418,31.1062276998683,49.2479407999262,0.424176634597032,149,30,78.2706660368446,29.1452096564297,37.2364400766822,0.411243018492125,134,36,67.4119036372225,20.007971237906,29.6801753968839,0.556655931164209,182,34,115.200283419934,35.0199044119713,30.3991477905614,0.371633242731981,0.671875,-0.0353982300884956,0.31531957360474,0.143654657389841,45.558433226196,0.505001842574256
"Con_24_1",89,19,36.2061757719715,15.3533866867952,42.4054359772534,0.610887072964536,112,30,52.3771971496437,19.2845968975634,36.8186881830782,0.595918894723469,86,39,52.0038004750594,9.10333499235223,17.505134065573,0.761287262683611,186,25,80.3434679334917,43.2587530027364,53.8422775558381,0.396562622108366,0.609756097560976,0,0.341489508748717,0.119221428043003,34.9121788484375,0.572977325014982
"Con_31_1",145,14,47.7669811320755,18.6763609938159,39.0988933174903,0.500598643251963,147,28,64.5382075471698,19.6551787697859,30.45510483913,0.448127577628003,132,35,57.127358490566,13.3608150770154,23.3877697657276,0.640000489964214,160,39,102.889622641509,27.6935990418296,26.9158330362628,0.347542890604854,0.700787401574803,-0.0551181102362205,0.372849145270054,0.126322228883341,33.8802517012197,0.514205975740175
"Con_32_1",148,13,38.4448113207547,20.7750888021087,54.0387326361857,0.544898890048559,161,25,56.875,26.6619715024658,46.8781916526872,0.475481552294716,150,32,54.9665094339623,13.6739250275201,24.8768298520906,0.660542715399356,195,30,91.186320754717,44.2366293768285,48.5123525225028,0.371105128204587,0.739644970414201,-0.0789473684210526,0.399466066768108,0.13774958817622,34.4834266626668,0.468109258687554
"Con_32_2",147,20,60.0869565217391,29.0254962511257,48.30581865238,0.492121907651113,143,31,71.2589792060491,26.7974989076319,37.6057855532079,0.511734030669949,136,38,66.8558601134216,19.4709583986506,29.1237871528658,0.629385861627961,187,26,96.9333648393195,44.5582446380125,45.9679128150291,0.379806017178904,0.595744680851064,-0.12962962962963,0.225669363594234,0.136881105795302,60.65559968584,0.554673437844031
