"Plot_code","Vegetation_type","Shrub_cover_pct","Shrub_ht_m","Shrub_pctDead","Sagebrush_cover_pct","Sagebrush_ht_m","CWD_cover_pct","CWD_Mg_ha","FBFM","TPH_trees","BA_m2_ha","TPH_largetrees","TPH_saps","Sap_ht_m","SH_m","CC_pct","CBH_m","CBD_kg_m3","CFL_kg_m2"
"Con_11_1","Conifer",19.16,0.393366114561767,3.03389830508475,0,NA,2.56,7.67518035358812,"GS2",169.514140571249,3.09841715976331,131.844331555416,0,NA,7.3152,7,2.4384,0.023108516,0.0980811494174
"Con_12_1","Conifer",6.02,1.18209302325581,10.4347826086957,0,NA,11.16,42.3801321942682,"TL1",2203.68382742624,15.6247337278106,696.891466792914,8076.92307692308,0.7,14.0208,34,0.3048,0.093374036,0.76969021848169
"Con_13_1-CWD","Conifer",25.06,0.829926203326358,9.94623655913978,0,NA,18.22,89.7076187921417,"TL1",960.580129903747,0.761257396449704,0,192.307692307692,1,4.572,5,1.2192,0.009388844,0.03018793935545
"Con_13_2","Conifer",16,0.926666666666667,10.0217391304348,0,NA,2.61999999999999,15.4392452657534,"TL1",3616.30166551999,22.6053402366864,621.551848761248,6346.15384615385,0.8,14.3256,46,0.3048,0.154895708,1.15166403249108
"Con_14_1","Conifer",5.46000000000002,0.635608519269777,5.76923076923077,0,NA,7.18,55.5891168005172,"TU1",2128.34420939458,4.94366863905325,94.174522539583,2115.38461538462,0.42,12.192,22,1.2192,0.01722724,0.17468363657007
"Con_21_1","Conifer",31.66,0.89345525790487,3.50828729281768,0,NA,23.14,149.617450260278,"TU5",6818.23543186581,23.9505473372781,979.415034411664,13461.5384615385,0.692307692307692,18.5928,59,0.3048,0.194106162,1.57902796609145
"Con_22_1","Conifer",12.72,0.521083476272155,10.2380952380952,0,NA,6.00000000000001,29.3098257452537,"TU5",583.882039745415,23.7017307692308,376.698090158332,3269.23076923077,0.4,17.0688,42,0.3048,0.085172124,0.89843720720742
"Con_22_2","Conifer",4.82,1.08560707885305,1.66666666666667,0,NA,11.94,94.9180617597713,"TU5",1808.15083275999,30.1813609467456,715.726371300831,576.923076923077,0.666666666666667,18.288,41,0.3048,0.112561025,1.22294909471041
"Con_23_1","Conifer",13.5,0.507420382165605,0,0,NA,9.98,70.6402839646867,"TU5",2071.83949587083,21.6406952662722,1017.0848434275,2692.30769230769,0.72,20.1168,36,0.3048,0.106591739,0.90767871252303
"Con_24_1","Conifer",50.72,1.00222340886578,14.2225609756098,0,NA,3.52000000000001,22.2615580927695,"TU5",1902.32535529958,32.3480621301775,565.047135237498,5961.53846153846,0.68,25.2984,48,0.3048,0.082636252,1.26945175207779
"Con_31_1","Conifer",12.16,0.354673913043478,36.2448979591837,0,NA,17.64,88.5954767446593,"TL4",4011.83466018624,26.4094082840237,1544.46216964916,961.538461538462,0.825,19.812,44,0.6096,0.105747044,0.91279779856547
"Con_32_1","Conifer",31.74,0.650659982161201,15.2732240437158,0,NA,4.38,30.3125160354419,"TU5",1939.99516431541,21.6259171597633,809.900893840414,7500,0.816666666666667,20.4216,41,0.3048,0.100527741,1.17443536007648
"Con_32_2","Conifer",33.72,0.731337467064262,16.8181818181818,0,NA,8.93999999999999,66.5018196876077,"TU5",1299.60841104625,15.0998816568047,508.542421713748,769.230769230769,0.675,18.8976,25,0.9144,0.051950227,0.57204299470155
