"sample_id","x_ctr","y_ctr","age","rdnbr","elev_m","slope_deg","aspect_deg","TPH_trees","BA_m2_ha","CC_pct","CH_m","CFL_kg_m2","CBD_kg_m3","CBH_m","CWD_cover_pct","CWD_Mg_ha","Shrub_cover_pct","Shrub_ht_m"
10,526011.025274709,4880694.16617327,"young",738,2174.26448,6.326693549,338.9122357,4978.27150536222,34.7202034875322,75.1304363320099,17.1346668890473,1.87617968472913,0.201635529215224,0.513250742676303,8.51753937745053,12.8965646680715,13.2119406656129,0.158381978420999
11,525158.981615367,4877653.85584704,"young",534,2287.236418,23.43835951,258.8801507,5306.40915599146,2.45242555314658,31.9182433156989,9.01957116150031,0.72052845699591,0.268569791485777,0.427978723202017,26.5974529329613,199.166713684997,18.2460824081953,1.26452483180597
12,519486.287643185,4876542.77682233,"young",387,2511.30255,10.55712286,54.45190057,10474.0129700769,16.5180850696942,37.8169825296306,15.239679416775,1.13830000029321,0.127431401738524,0.523596961219845,17.3567901197364,196.368401420339,21.2938727419667,0.830611974520717
13,524609.829713102,4877657.55379935,"young",600,2268.855311,16.17370698,107.0925942,7693.79354952127,26.213216192372,70.1284026893972,11.525116615388,1.17291833800085,0.220336554563134,0.124627284346208,10.6403677488895,40.9663332501153,0,0.292912356606817
14,524509.213446061,4878852.05956736,"young",160,2232.8718,15.75741049,227.5736583,3767.71397767839,18.4191850644912,53.2580186416233,13.3389591574997,1.37913333905011,0.246772249280286,0.240124151270232,13.2034077374331,43.8071934360648,8.3428805793355,0.513883306526415
16,520282.682359391,4876517.67914953,"young",0,2355.66914,10.54178017,59.15162104,2296.07362890614,0.798282316572481,18.6271637015605,8.98217789954378,0.0777548974874095,0.0708070866600784,1.22705130977543,17.199790211515,207.413749073408,11.3061009018136,1.19775099499284
17,520411.366313685,4877234.05930839,"young",793,2327.017172,9.856500097,39.85372142,5684.85666785743,15.8521370662369,51.3425461178146,14.3694293856988,0.810925767625097,0.167300164034705,0.332871589352217,21.4543066711663,201.111018191945,12.7750672612277,0.525347735612757
18,525008.664694876,4879536.50956203,"young",176,2161.97046,9.06876163,57.06212817,5991.49187923093,28.3630540073976,66.671692024295,13.7631172820327,1.48060326296823,0.182943907603557,0.380501300780737,11.0244460685367,18.3681960205998,6.45848291243329,0.400121021657208
19,519429.981278413,4875565.54422057,"young",724,2370.193615,17.33788161,154.0814695,1200.39021556249,0.653882296141821,5.13912683759321,5.24397560296587,1.60037203871739,0,3.76772865236021,37.6517116080514,300,0,1.16634546486095
20,523919.615528337,4878728.30208402,"young",154,2264.573197,14.41332,34.92548292,8146.22244300035,43.3799778514382,94.6404509106884,13.9953679117609,2.08132212294219,0.199322283916278,0.421430328807147,7.01386027748229,5.68982530028587,28.6519099549828,0.15058628443934
21,523407.448289648,4879070.75613657,"young",854,2154.214496,15.76470918,296.2072662,10616.6289190512,27.4917092311125,61.4169246213162,14.0849812667104,2.48676853343935,0.265761688813906,0.408382852166886,9.02340720663624,22.4406371888588,20.4421016111265,0.60103570974232
22,521473.952056832,4877069.60730384,"young",800,2113.028937,16.59896932,128.540378,4366.78480075434,26.2147908245652,70.8606350768069,13.1347212381632,1.26123068645976,0.248378381605668,0.0859704540583215,11.9776641973586,30.5953133231558,0,0.148035567612426
23,520364.272840025,4878285.72360668,"young",1019,2306.72667,7.044653421,111.1607994,6087.08429130726,29.885023395484,67.3365414593036,15.1604896698013,1.22641192266197,0.131520725386094,0.788022236680385,10.9397814061425,43.16198467472,5.91707749213469,0.218410256538222
24,525789.782299508,4880174.86465143,"young",263,2160.795412,10.41794934,286.1917128,3670.67622247465,37.320092049262,77.715084001155,16.2156390412283,1.85582066463176,0.214962411666673,0.637396630274811,9.46836966773175,13.4019188886432,8.68619037855639,0.0716023238088633
25,524979.683092164,4878200.3878361,"young",175,2238.830178,16.0236419,268.8738263,5137.82260703054,2.8762562067714,33.9482402042665,8.1521323743961,0.654391858593143,0.181629657866284,0.779368363221341,18.644083882833,131.870085403953,17.3253297665316,1.24279599776644
26,519121.10712211,4875970.49616005,"young",211,2546.872534,17.26709914,164.4082002,1491.54332158784,0.279487235275643,13.3247499874316,4.90525518867782,0.504777077089187,2.34887511257405e-06,4.16022824607765,15.7683758289226,300,0,1.48506760801387
27,519969.669530099,4875620.80222248,"young",1043,2403.529947,23.77880511,200.8613582,8181.03403195311,31.7683032407795,85.1970288720324,14.0141128543102,1.54426873144525,0.292963037086702,0.212663113006091,15.3201316955696,49.6522211997737,4.1316408335237,0.273334494325437
28,519834.095608304,4878171.43850787,"young",693,2361.18845,9.039147382,110.3180801,4047.46272994343,10.3949192551171,54.3278981719811,9.75175847453813,0.429242459162903,0.139701249241371,0.541780466439155,12.4796467941243,50.0766198736831,0,0.669095463130716
29,525019.146826445,4878902.66682458,"young",354,2208.595918,23.2157605,307.2617625,5464.42404184288,22.0474146421809,62.5371272232296,13.6636821108349,2.43347204493951,0.204348271781691,0.72628928482946,12.5413184704912,8.27689938716748,63.8235403444234,1.20484494796547
30,522833.727882116,4876952.29180832,"young",1101,2148.314546,22.68884594,281.2008584,4426.92176600609,8.21061114301414,45.3715238210473,10.0095215693591,1.46711514729133,0.252181947671732,0.108145517176973,17.1877201342927,50.3266389049055,51.2541316351597,0.79193344826279
31,522811.559796875,4878038.16987422,"old",215,2073.267502,9.498220608,309.1448865,1648.0566000233,18.021331941827,46.7414401555421,19.1934524418476,1.53818663979061,0.140092971609156,0.370693738150945,10.211425669872,40.0529929544153,44.9230092165125,0.687206346777528
32,522103.677686535,4879408.76192648,"old",979,2101.531653,18.87536839,106.7721476,3102.40801824093,28.2029396610074,55.559011469868,19.1546958577584,0.983117371294064,0.123010528811643,0.304023496862271,12.6453786651012,106.994750306561,10.0008485145139,0.391030165423718
33,522604.704174966,4881031.58196108,"old",1130,2172.297532,10.80662798,315.2175402,1837.94788105073,21.328302389685,50.6561660842651,18.3963039428521,1.27559040592779,0.0914115455900735,0.582773154479356,6.27417762678152,24.1422643879768,37.5795540351623,0.732632022882003
34,521523.258018458,4878469.42522151,"old",1280,2174.569685,10.99512984,60.14613815,2280.00743268649,19.5421889403776,44.1756089722565,17.3353342823011,1.03067927982941,0.0945666583295507,0.589195269757549,18.9494598004941,127.821050009212,46.0980081649813,0.854948059748834
