"sample_id","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom","file_name","area","rdnbr","age","elev_m","slope_deg","aspect_deg"
30,181,11,34.1978877153974,15.9356251524134,46.5982732180224,0.679020220910052,172,25,44.6053362979433,14.7071078300147,32.9716331063574,0.689738602345305,165,25,49.5636464702613,13.0335522723813,26.2965968014511,0.703227505543561,141,9,29.9510839355197,16.8965633614003,56.4138626761424,0.698258298886642,0.478260869565217,-0.555555555555556,-0.0808039302281798,0.173284353957946,-214.450402930418,0.413885723593295,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899.5,14,"young",2650.02914306543,27.4259164180436,22.8764380137945
46,133,10,33.7319988879622,22.0781908035246,65.4517714080786,0.606379859939407,128,21,48.6433138726717,24.8811936280534,51.1502848946151,0.580873292614484,95,27,44.4161801501251,12.6391034102648,28.4560792205568,0.720827511926941,169,11,66.705031971087,46.6243002342802,69.8962265013069,0.483143379031174,0.718518518518519,-0.266666666666667,0.282649475133079,0.170550190507188,60.3398221160285,0.493508879727904,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899.25,1215,"old",2351.19168000416,28.4929774045297,44.8205921051756
59,132,9,32.698275862069,20.2559672302078,61.948120187295,0.589347552130888,126,18,46.9908231368187,23.2501705448664,49.478108687671,0.61271256941942,115,23,43.5211345939933,13.9004947207951,31.9396423151009,0.66378347982171,162,13,67.0862068965517,43.4891935032265,64.8258345717588,0.508460599446363,0.679245283018868,-0.265822784810127,0.309178338466532,0.149927932571497,48.4923792899308,0.496703339190811,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899,426,"old",2440.13773338006,27.4478741100986,28.6456456891062
2,168,21,76.1401557285873,33.6012590064506,44.1307988996335,0.443622160666814,170,31,88.9427141268076,28.0219375570898,31.5056020408129,0.415766648387284,150,38,72.9143492769744,22.5567287918844,30.9359255284578,0.598324341203142,177,31,136.395717463849,27.4967080798628,20.1595098373603,0.432378714441154,0.622047244094488,-0.0434782608695652,0.307118549682946,0.160102712790252,52.1305902738648,0.600346676565721,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899,370,"young",2142.86537231445,2.90981245553171,255.851961525444
3,144,19,54.9713570634038,17.9435527356812,32.6416404728469,0.4769783733015,141,30,72.785873192436,19.5257764256159,26.8263271005795,0.421910285594708,119,36,58.1040044493882,9.44559271778349,16.2563541141319,0.707026627349705,176,48,129.413515016685,28.1542547281276,21.7552662289543,0.350618771475213,0.65034965034965,0.0311111111111111,0.409022469739491,0.099148318387656,24.2403109175895,0.571891814389741,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899,513,"young",2122.75448778857,4.63903193863765,157.900906065171
7,137,16,53.6087319243604,21.5881830719913,40.269900624494,0.473102321206766,136,30,70.5917686318131,22.6657070123037,32.1081444077732,0.416832621965422,119,35,58.3640155728587,12.1463319854028,20.8113370305028,0.669136134698764,177,42,121.806729699666,33.7027201501471,27.6690132254978,0.327815167125302,0.661764705882353,-0.0263157894736842,0.394768066815907,0.114080302959066,28.8980575048045,0.559109967891697,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899,653,"young",2102.05837184396,9.52850747165793,283.132300203228
9,99,14,46.4109474854126,16.1095575872109,34.7106845691401,0.46114588599602,121,27,65.2811892192276,20.2650134883135,31.0426536812304,0.385281817758258,86,37,54.3667685468186,8.18453553222913,15.0542983351694,0.680533619410223,170,30,113.220061128091,34.0880628488924,30.1077940686916,0.317536611297797,0.656804733727811,0.031055900621118,0.416238112273108,0.0916930086042161,22.0289795433372,0.548854722319833,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899.75,81,"young",2154.35423642113,5.93245541837417,303.799653870337
10,125,14,50.0642023346304,18.2012669554214,36.3558513002237,0.453562967590797,126,26,67.6750972762646,20.9982404489162,31.0280166472414,0.390565923275752,96,31,54.061978877154,9.24294738555221,17.0969460932148,0.669495785064118,177,38,121.114785992218,32.8433811039955,27.1175652377455,0.308734990551421,0.674698795180723,0.07,0.420250884069773,0.0972722802853967,23.146240489347,0.527658973806016,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899.5,572,"young",2230.47078450521,11.2033889106489,302.837725460382
18,136,17,54.6883333333333,23.0517876802264,42.1511980255869,0.496700856107612,132,28,70.7411111111111,23.7534029123868,33.577933028332,0.449436906235281,118,37,59.8683333333333,12.3311670133482,20.597144311152,0.666674762960032,172,35,116.41,34.9831017040324,30.0516293308414,0.382952700462154,0.652694610778443,0.00613496932515337,0.368206637634892,0.119059512496515,32.3349718139989,0.549997739821881,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",900,498,"young",2107.34497924805,5.38330486703855,13.2532074214349
19,174,18,71.482212340189,33.4518785642908,46.7974863523962,0.424029398211975,159,31,80.3451917732073,29.5477696276516,36.7760272588022,0.421313259200469,140,35,70.9091161756531,21.0344996475083,29.6640273944503,0.561098406917479,178,30,105.212618121178,38.5729394283153,36.6618948536087,0.391368158563986,0.647058823529412,-0.175141242937853,0.204812746158818,0.170107993406128,83.0553745293865,0.543104922783758,"data/NAIP/FlaggRanch2015/m_4411059_ne_12_h_20150924.tif",899.5,140,"young",2215.55455594945,19.8731655639016,299.484948595988
