"sample_id","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom","file_name","area","rdnbr","date","weather","prev_fire","elev_m","slope_deg","aspect_deg"
2,159,17,46.258064516129,26.0349103177151,56.2818842293702,0.564332234753584,161,28,53.3164627363738,22.4310153436706,42.0714619696021,0.588823671253782,157,34,57.0347608453838,18.505591794048,32.4461635671884,0.639964941919683,153,17,50.8837597330367,27.3939853685494,53.8364018544872,0.614958678360183,0.527472527472527,-0.25,0.0476266080391048,0.0937511443740688,196.846150154327,0.535826309678737,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899,719,"829","moderate","wilcox",2343.71843596181,25.4624502347045,336.128358062272
5,165,26,97.5002779321845,26.5081305277493,27.1877486812774,0.356978071056831,167,39,99.2440244580322,24.2594959411992,24.444288785828,0.385219343278493,159,49,95.443579766537,20.5230739818327,21.502833435244,0.477847567198676,169,36,105.899110617009,24.5142658287495,23.148698497957,0.470685302398295,0.494623655913978,-0.254658385093168,0.0466347378653564,0.0806803774596886,173.004891102055,0.574217633340554,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899.5,435,"828","moderate","wilcox",2109.12583251953,8.73103260444556,325.74040836377
7,176,28,101.152905198777,25.4850711067498,25.1946012392514,0.350930782495305,178,35,99.3947734222964,23.3623308849348,23.5045868917834,0.373903740832369,166,42,89.3230469835974,20.5242241327851,22.9775235237486,0.467602974912873,172,34,111.499026966917,24.4017589869221,21.8851766250502,0.432162206601384,0.483568075117371,-0.193548387096774,0.0525614966093575,0.0747083104853243,142.135051900375,0.603171239040535,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899.25,690,"830","moderate","wilcox",2565.74648775695,14.8572042612051,38.0570379550167
8,181,58,121.059216013344,24.5474070126071,20.2771898092428,0.397698611052474,174,74,123.266611064776,19.2370850019953,15.6060792422421,0.453551689543756,166,60,109.264386989158,20.4914017073085,18.7539620840429,0.503228531783933,182,105,153.911871003614,10.6733148775351,6.93469243661166,0.632864918416149,0.484444444444444,-0.0583333333333333,0.127171685843128,0.115811950057798,91.0674017490474,0.593494536899693,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899.25,324,"827","moderate","wilcox",2365.13513920193,24.0030873044061,85.8490174483175
12,156,17,50.1223241590214,26.4812995562423,52.8333432269142,0.54377212774178,156,28,63.5979983319433,24.7545947779761,38.9235438649688,0.529626786314433,147,33,58.0492076730609,18.8720170737553,32.5103784017939,0.638493459726406,173,26,93.402279677509,34.8438711442115,37.305161356358,0.424615465402449,0.628571428571429,-0.133333333333333,0.312494901418105,0.134462654850757,43.0287515862064,0.562347438032125,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899.25,917,"830","moderate","none",2269.01191274282,12.2538728988187,270.472234503883
18,114,12,33.0219688542825,19.0963683347733,57.8292845561108,0.669323266310618,118,23,50.9029477196885,24.3876728976215,47.9101387839445,0.559955529387343,96,31,48.3704115684093,12.0423292812325,24.8960653646729,0.684184601675722,176,16,79.4343715239155,46.3696387397086,58.3747788899519,0.45179219271408,0.774193548387097,-0.0526315789473684,0.383535333818424,0.139411621274272,36.3490945896194,0.508155071231828,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899,1207,"830","moderate","none",2151.82746563766,17.180029103552,343.771339593945
24,166,28,109.403503893215,18.5470083949838,16.9528467873268,0.504969032642951,159,45,109.258620689655,15.6892589495573,14.3597446595286,0.547826115341785,146,52,97.9613459399333,12.0579687821121,12.3089047689337,0.624166435828073,164,39,123.086484983315,21.6868091733123,17.6191636118719,0.653477502702072,0.621621621621622,-0.182795698924731,0.0574597154535891,0.0644755895106937,112.210074487353,0.695624881486806,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899,128,"826","moderate","none",2076.44528478674,6.59744682484547,348.124680240496
27,153,21,92.6669444444444,28.9147584848173,31.2028832483542,0.4470683790732,152,33,94.8755555555556,24.3997814096637,25.7176690737543,0.461842583402126,147,44,90.6572222222222,19.1110660574507,21.0805775745091,0.572306163955671,187,25,117.602777777778,30.1356476318164,25.6249454317829,0.516481893460821,0.650793650793651,-0.100401606425703,0.127055307451427,0.112929037639238,88.8817947903598,0.610041948571639,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",900,281,"826","moderate","wilcox",2089.22393371582,13.355409255666,56.214363790073
29,146,9,35.0447470817121,24.1411600023845,68.8866720769757,0.578058588590912,137,19,49.3790994997221,28.1785033927694,57.0656485805863,0.583098219899848,109,23,43.6598110061145,15.2546142239437,34.9397165778096,0.650327157222677,183,13,68.4430239021679,47.7846323889735,69.8166586813531,0.488095937972244,0.73972602739726,-0.1875,0.291384565232894,0.15373134931039,52.7589198787923,0.463697422399021,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",899.5,279,"901","moderate","none",2562.39399182707,17.4006891049725,40.1465534775412
31,173,14,52.2579298831386,28.6726580378077,54.8675734035518,0.48488024657843,171,23,67.3171953255426,29.4437076884102,43.7387617621648,0.459064205516959,159,25,54.1279910962716,18.9094192213735,34.9346407254269,0.605890133972657,183,31,112.695882025598,42.8416543489753,38.0152793331385,0.406434397217423,0.705128205128205,-0.0332326283987915,0.381096500555928,0.141506253543642,37.1313442493485,0.514683807868354,"data/NAIP/ColterBay2015/m_4311003_nw_12_h_20150912.tif",898.5,488,"826","moderate","none",2418.94822522718,23.3016023344738,121.997129349124
